num_imputer__zip code (HigherEducationBySector),num_imputer__Distance to Allentown (Longitude),num_imputer__Distance to Reading (Longitude),num_imputer__Distance to Erie (Longitude),num_imputer__North,num_imputer__East,num_imputer__South,num_imputer__West,num_imputer__Central,cat_imputer__Institution,cat_imputer__Type (HigherEducationBySector),cat_imputer__County,cat_imputer__Address (HigherEducationBySector),cat_imputer__Sector and Type (HigherEducationBySector),cat_imputer__City (HigherEducationInstitutions)
15010.0,-4.850313499999999,-4.400313499999996,-0.23671350000000757,0.0,0.0,0.0,1.0,0.0,98,1,3,114,4,136
17601.0,-0.8167605000000009,-0.36676049999999805,3.79683949999999,0.0,1.0,1.0,0.0,0.0,145,1,32,191,4,136
15401.0,-4.254077999999993,-3.80407799999999,0.35952199999999834,0.0,0.0,1.0,1.0,0.0,361,2,23,49,2,136
15061.0,-4.821566000000004,-4.371566000000001,-0.2079660000000132,0.0,0.0,0.0,1.0,0.0,232,0,3,14,8,136
18944.0,0.19612490000000093,0.6461249000000038,4.809724899999992,0.0,1.0,1.0,0.0,0.0,16,0,7,7,0,136
18017.0,0.046800799999999754,0.4968008000000026,4.660400799999991,0.0,1.0,0.0,0.0,1.0,285,1,35,83,4,136
17013.0,-1.725080300000002,-1.275080299999999,2.888519699999989,0.0,0.0,1.0,0.0,1.0,80,1,18,98,4,136
17972.0,-0.6959579999999903,-0.24595799999998746,3.9176420000000007,0.0,1.0,0.0,0.0,1.0,251,0,46,77,8,136
16335.0,-1.6211727835817502,-1.1711727859255383,2.9924272118323874,1.0,0.0,0.0,1.0,0.0,204,2,17,200,7,136
17777.0,-1.3989449999999977,-0.9489449999999948,3.2146549999999934,0.0,1.0,0.0,0.0,1.0,168,2,43,30,2,136
18104.0,-0.041006199999998216,0.4089938000000046,4.572593799999993,0.0,1.0,0.0,0.0,1.0,190,1,35,89,4,136
15701.0,-3.6537818999999985,-3.2037818999999956,0.9598180999999926,0.0,0.0,0.0,1.0,1.0,362,2,28,130,2,136
17101.0,-1.4089467000000013,-0.9589466999999985,3.2046532999999897,0.0,1.0,0.0,0.0,1.0,116,1,19,115,4,136
15650.0,-3.9296930000000003,-3.4796929999999975,0.6839069999999907,0.0,0.0,1.0,1.0,0.0,297,1,55,106,4,136
18510.0,-0.18634969999999385,0.263650300000009,4.427250299999997,1.0,1.0,0.0,0.0,0.0,344,1,31,184,4,136
16509.0,-4.6344359,-4.184435899999997,-0.020835900000008678,1.0,0.0,0.0,1.0,0.0,143,1,22,70,4,136
17013.0,-1.7253379999999936,-1.2753379999999908,2.8882619999999974,0.0,0.0,1.0,0.0,1.0,256,0,18,56,8,136
16006.0,-4.6391577999999924,-4.18915779999999,-0.025557800000001407,0.0,0.0,0.0,1.0,1.0,24,2,8,93,2,136
18020.0,0.1449233000000021,0.5949233000000049,4.758523299999993,0.0,1.0,0.0,0.0,0.0,216,1,42,123,1,136
15212.0,-4.542510100000001,-4.092510099999998,0.07108989999998983,0.0,0.0,1.0,1.0,0.0,63,1,1,186,1,136
16506.0,-1.621172782641107,-1.1711727849000457,2.992427212939054,1.0,0.0,0.0,1.0,0.0,196,2,22,200,7,136
17602.0,-0.7969539500000025,-0.3469539499999996,3.8166460499999886,0.0,1.0,1.0,0.0,0.0,107,0,32,63,0,136
16365.0,-3.6748549999999938,-3.224854999999991,0.9387449999999973,1.0,0.0,0.0,1.0,0.0,215,1,52,104,6,136
18201.0,-0.5044850000000025,-0.05448499999999967,4.1091149999999885,1.0,1.0,0.0,0.0,0.0,164,2,36,15,2,136
19607.0,-0.46448417999999947,-0.014484179999996627,4.149115819999992,0.0,1.0,1.0,0.0,0.0,5,1,4,124,4,136
19144.0,0.27851090000000056,0.7285109000000034,4.892110899999992,0.0,1.0,1.0,0.0,0.0,323,1,44,128,4,136
18034.0,0.06871879999999919,0.518718800000002,4.68231879999999,0.0,1.0,0.0,0.0,1.0,247,0,35,100,8,136
17093.0,-1.4586259999999953,-1.0086259999999925,3.1549739999999957,0.0,0.0,1.0,0.0,1.0,49,1,18,159,4,136
19118.0,0.24356726000000606,0.6935672600000089,4.857167259999997,0.0,1.0,1.0,0.0,0.0,51,1,44,193,4,136
19103.0,0.30360350000000835,0.7536035000000112,4.917203499999999,0.0,1.0,1.0,0.0,0.0,219,1,44,61,4,136
19335.0,-0.21045510000000434,0.2395448999999985,4.403144899999987,0.0,1.0,1.0,0.0,0.0,72,2,12,133,2,136
15456.0,-4.189342429999996,-3.7393424299999936,0.42425756999999464,0.0,0.0,1.0,1.0,0.0,241,0,23,84,8,136
18509.0,-0.18545459999999991,0.26454540000000293,4.428145399999991,1.0,1.0,0.0,0.0,0.0,97,1,31,149,4,136
19047.0,0.5620619999999974,1.0120620000000002,5.175661999999988,0.0,1.0,1.0,0.0,0.0,42,1,7,76,4,136
17701.0,-1.5512279999999947,-1.1012279999999919,3.0623719999999963,1.0,1.0,0.0,0.0,1.0,220,1,37,3,9,136
17403.0,-1.2323590999999965,-0.7823590999999936,3.3812408999999946,0.0,1.0,1.0,0.0,0.0,260,0,56,25,8,136
15940.0,-3.1657009999999985,-2.7157009999999957,1.4478989999999925,0.0,0.0,1.0,1.0,1.0,292,1,9,46,4,136
15221.0,-4.379081999999997,-3.929081999999994,0.23451799999999423,0.0,0.0,1.0,1.0,0.0,32,2,1,94,2,136
19103.0,0.30079460000000324,0.7507946000000061,4.914394599999994,0.0,1.0,1.0,0.0,0.0,68,1,44,66,4,136
17022.0,-1.1192582999999985,-0.6692582999999956,3.4943416999999926,0.0,1.0,1.0,0.0,0.0,90,1,32,0,4,136
16125.0,-4.912709100000001,-4.462709099999998,-0.2991091000000097,1.0,0.0,0.0,1.0,0.0,322,1,39,177,4,136
19139.0,0.2546913999999987,0.7046914000000015,4.86829139999999,0.0,1.0,1.0,0.0,0.0,37,2,44,139,2,136
17013.0,-1.7177025000000015,-1.2677024999999986,2.8958974999999896,0.0,0.0,1.0,0.0,1.0,105,2,18,54,2,136
15824.0,-3.318456999999995,-2.8684569999999923,1.295142999999996,1.0,0.0,0.0,1.0,1.0,23,2,29,37,2,136
19104.0,0.28147350000000415,0.731473500000007,4.895073499999995,0.0,1.0,1.0,0.0,0.0,81,1,44,111,4,136
16433.0,-1.621172783042672,-1.1711727853378289,2.992427212466616,1.0,0.0,0.0,1.0,0.0,207,2,17,200,7,136
19082.0,0.19741740000000618,0.647417400000009,4.811017399999997,0.0,1.0,1.0,0.0,0.0,76,2,20,58,2,136
18202.0,-0.5687957800000021,-0.11879577999999924,4.044804219999989,1.0,1.0,0.0,0.0,0.0,133,2,36,121,5,136
15801.0,-3.280030499999995,-2.8300304999999923,1.3335694999999959,0.0,0.0,0.0,1.0,1.0,238,0,14,4,8,136
19095.0,0.3219904999999983,0.7719905000000011,4.935590499999989,0.0,1.0,1.0,0.0,0.0,281,1,41,40,4,136
16802.0,-2.391389189999998,-1.9413891899999953,2.222210809999993,0.0,0.0,0.0,0.0,1.0,255,1,11,79,9,136
19046.0,0.36612050000000806,0.8161205000000109,4.979720499999999,0.0,1.0,1.0,0.0,0.0,174,1,41,169,4,136
15301.0,-4.769694099999995,-4.319694099999992,-0.15609410000000423,0.0,0.0,1.0,1.0,0.0,353,1,53,157,4,136
15697.0,-4.093984899999995,-3.6439848999999924,0.5196150999999958,0.0,0.0,1.0,1.0,0.0,368,1,55,52,1,136
19010.0,0.15805910000000267,0.6080591000000055,4.771659099999994,0.0,1.0,1.0,0.0,0.0,115,1,41,178,4,136
17837.0,-1.4126408300000008,-0.962640829999998,3.20095916999999,0.0,0.0,0.0,0.0,1.0,14,1,50,197,4,136
17003.0,-1.044115099999999,-0.5941150999999962,3.569484899999992,0.0,1.0,1.0,0.0,1.0,147,1,34,19,4,136
16701.0,-3.2013151999999963,-2.7513151999999934,1.4122847999999948,1.0,0.0,0.0,1.0,0.0,335,0,38,105,8,136
19352.0,-0.4573055000000039,-0.007305500000001075,4.156294499999987,0.0,1.0,1.0,0.0,0.0,158,1,12,57,9,136
16729.0,-1.6211727814144279,-1.1711727835627048,2.9924272143822463,1.0,0.0,0.0,1.0,0.0,203,2,38,200,7,136
19102.0,0.3074110000000019,0.7574110000000047,4.921010999999993,0.0,1.0,1.0,0.0,0.0,347,1,44,75,4,136
15237.0,-4.545096999999998,-4.0950969999999955,0.06850299999999265,0.0,0.0,1.0,1.0,0.0,138,1,1,190,4,136
17325.0,-1.7619325000000003,-1.3119324999999975,2.8516674999999907,0.0,0.0,1.0,0.0,1.0,99,1,0,108,4,136
16601.0,-2.93844,-2.488439999999997,1.675159999999991,0.0,0.0,1.0,1.0,1.0,231,0,5,109,8,136
17870.0,-1.4032088999999957,-0.9532088999999928,3.2103910999999954,0.0,0.0,0.0,0.0,1.0,315,1,47,147,4,136
17872.0,-1.084033599999998,-0.6340335999999951,3.529566399999993,0.0,1.0,0.0,0.0,1.0,167,2,43,73,2,136
16720.0,-1.6211727656642747,-1.1711727663917397,2.9924272329123554,1.0,0.0,0.0,0.0,1.0,193,2,45,200,7,136
15666.0,-4.107546169999992,-3.657546169999989,0.506053829999999,0.0,0.0,1.0,1.0,0.0,360,2,55,17,2,136
16323.0,-1.621172783647756,-1.1711727859975003,2.992427211754732,1.0,0.0,0.0,1.0,0.0,198,2,51,200,7,136
15650.0,-3.915429000000003,-3.4654290000000003,0.6981709999999879,0.0,0.0,1.0,1.0,0.0,363,2,55,42,2,136
19406.0,0.07677361999999732,0.5267736200000002,4.690373619999988,0.0,1.0,1.0,0.0,0.0,7,1,41,163,4,136
19345.0,-0.09464199999999323,0.3553580000000096,4.518957999999998,0.0,1.0,1.0,0.0,0.0,120,1,12,33,4,136
17237.0,-2.0716357999999957,-1.6216357999999929,2.5419641999999953,0.0,0.0,1.0,0.0,1.0,249,0,25,2,8,136
19355.0,-0.05084630000000345,0.3991536999999994,4.562753699999988,0.0,1.0,1.0,0.0,0.0,243,0,12,103,8,136
15601.0,-4.0621498,-3.6121497999999974,0.5514501999999908,0.0,0.0,1.0,1.0,0.0,336,0,55,55,8,136
17701.0,-1.5288869999999974,-1.0788869999999946,3.0847129999999936,1.0,1.0,0.0,0.0,1.0,172,1,37,196,4,136
16630.0,-3.1291664000000026,-2.6791663999999997,1.4844335999999885,0.0,0.0,1.0,1.0,1.0,189,1,9,176,4,136
15601.0,-4.0840867,-3.6340866999999974,0.5295132999999907,0.0,0.0,1.0,1.0,0.0,300,1,55,9,4,136
16438.0,-1.6211727830151652,-1.1711727853078422,2.9924272124989777,1.0,0.0,0.0,1.0,0.0,208,2,22,200,7,136
19074.0,0.2039149000000009,0.6539149000000037,4.817514899999992,0.0,1.0,1.0,0.0,0.0,75,2,20,78,2,136
16541.0,-4.617599349999992,-4.167599349999989,-0.003999350000000845,1.0,0.0,0.0,1.0,0.0,96,1,22,29,4,136
15213.0,-4.492261400000004,-4.042261400000001,0.1213385999999872,0.0,0.0,1.0,1.0,0.0,45,1,1,116,4,136
16602.0,-2.9382739999999927,-2.48827399999999,1.6753259999999983,0.0,0.0,1.0,1.0,1.0,226,2,5,153,2,136
18042.0,0.26215400000000955,0.7121540000000124,4.875754000000001,0.0,1.0,0.0,0.0,0.0,141,1,42,173,4,136
19063.0,0.025028000000006045,0.4750280000000089,4.638627999999997,0.0,1.0,1.0,0.0,0.0,78,1,20,192,1,136
19027.0,0.3374212000000085,0.7874212000000114,4.9510212,0.0,1.0,1.0,0.0,0.0,100,1,41,180,4,136
19081.0,0.11766269999999679,0.5676626999999996,4.731262699999988,0.0,1.0,1.0,0.0,0.0,316,1,20,140,4,136
17862.0,-1.5891857999999957,-1.1391857999999928,3.0244141999999954,0.0,0.0,0.0,0.0,1.0,261,1,47,38,4,136
16002.0,-4.4436905999999965,-3.9936905999999937,0.16990939999999455,0.0,0.0,0.0,1.0,1.0,28,1,8,26,1,136
19014.0,0.030925500000009265,0.4809255000000121,4.6445255,0.0,1.0,1.0,0.0,0.0,211,1,20,8,4,136
18104.0,-0.04235699999999554,0.4076430000000073,4.5712429999999955,0.0,1.0,0.0,0.0,1.0,48,1,35,13,4,136
19001.0,0.3593890000000073,0.8093890000000101,4.972988999999998,0.0,1.0,1.0,0.0,0.0,230,0,7,60,8,136
16226.0,-4.058143999999999,-3.608143999999996,0.5554559999999924,0.0,0.0,0.0,1.0,1.0,22,2,2,31,2,136
17325.0,-1.7523063999999948,-1.302306399999992,2.861293599999996,0.0,0.0,1.0,0.0,1.0,106,0,0,174,0,136
18612.0,-0.4921329999999955,-0.04213299999999265,4.1214669999999956,1.0,1.0,0.0,0.0,0.0,258,0,36,131,8,136
16915.0,-1.6211727645916199,-1.1711727652223232,2.9924272341743343,1.0,0.0,0.0,0.0,1.0,206,2,45,200,7,136
19130.0,0.3048756000000026,0.7548756000000054,4.918475599999994,0.0,1.0,1.0,0.0,0.0,67,1,44,65,1,136
19013.0,0.21452100000000485,0.6645210000000077,4.828120999999996,0.0,1.0,1.0,0.0,0.0,371,1,20,198,4,136
18078.0,-0.13899059999999963,0.3110094000000032,4.474609399999991,0.0,1.0,0.0,0.0,1.0,151,1,35,136,1,136
16652.0,-2.546132700000001,-2.0961326999999983,2.06746729999999,0.0,0.0,1.0,0.0,1.0,134,1,27,64,4,136
19104.0,0.2647354000000064,0.7147354000000092,4.878335399999997,0.0,1.0,1.0,0.0,0.0,352,1,44,129,4,136
18603.0,-0.7613841999999948,-0.311384199999992,3.852215799999996,0.0,1.0,0.0,0.0,1.0,163,2,16,27,2,136
15071.0,-4.721971299999993,-4.27197129999999,-0.10837130000000172,0.0,0.0,1.0,1.0,0.0,36,2,1,16,2,136
19063.0,0.023584800000008954,0.4735848000000118,4.6371848,0.0,1.0,1.0,0.0,0.0,234,0,20,92,8,136
19602.0,-0.46308657999999525,-0.01308657999999241,4.150513419999996,0.0,1.0,1.0,0.0,0.0,280,1,4,10,1,136
15282.0,-4.522609000000003,-4.072609,0.09099099999998828,0.0,0.0,1.0,1.0,0.0,82,1,1,158,4,136
18509.0,-0.16584679999999707,0.28415320000000577,4.447753199999994,1.0,1.0,0.0,0.0,0.0,176,1,31,86,4,136
16146.0,-5.037167799999992,-4.587167799999989,-0.4235678000000007,1.0,0.0,0.0,1.0,0.0,253,0,39,53,8,136
16701.0,-1.621172781568454,-1.1711727837306256,2.992427214201035,1.0,0.0,0.0,1.0,0.0,202,2,38,200,7,136
15208.0,-4.425680999999997,-3.9756809999999945,0.18791899999999373,0.0,0.0,1.0,1.0,0.0,33,2,1,171,2,136
19007.0,0.593182100000007,1.0431821000000099,5.206782099999998,0.0,1.0,1.0,0.0,0.0,15,0,7,45,0,136
17404.0,-1.2740264999999908,-0.824026499999988,3.3395735,0.0,1.0,1.0,0.0,0.0,109,0,56,81,0,136
18612.0,-0.5077859999999959,-0.05778599999999301,4.105813999999995,1.0,1.0,0.0,0.0,0.0,180,1,36,110,4,136
19087.0,0.10357989999999972,0.5535799000000026,4.717179899999991,0.0,1.0,1.0,0.0,0.0,87,1,20,43,4,136
